WellName,DATE,OIL
ASQRL0X85B,12/31/2016,5160
ASQRL0X85B,1/31/2017,17989
ASQRL0X85B,2/28/2017,0
ASQRL0X85B,3/31/2017,10035
ASQRL0X85B,4/30/2017,13967
ASQRL0X85B,5/31/2017,19874
ASQRL0X85B,6/30/2017,21531
ASQRL0X85B,7/31/2017,20084
ASQRL0X85B,8/31/2017,13223
ASQRL0X85B,9/30/2017,10688
ASQRL0X85B,10/31/2017,12009
ASQRL0X85B,11/30/2017,7175
ASQRL0X85B,12/31/2017,4806
ASQRL0X85B,1/31/2018,8149
ASQRL0X85B,2/28/2018,7648
ASQRL0X85B,3/31/2018,6449
ASQRL0X85B,4/30/2018,4016
ASQRL0X85B,5/31/2018,4242
ASQRL0X85B,6/30/2018,6039
ASQRL0X85B,7/31/2018,5416
ASQRL0X85B,8/31/2018,4219
ASQRL0X85B,9/30/2018,4065
ASQRL0X85B,10/31/2018,4782
ASQRL0X85B,11/30/2018,1193
ASQRL0X85B,12/31/2018,637
ASQRL0X85B,1/31/2019,3577
ASQRL0X85B,2/28/2019,3692
ASQRL0X85B,3/31/2019,3875
ASQRL0X85B,4/30/2019,0
ASQRL0X85B,5/31/2019,519
ASQRL0X85B,6/30/2019,2665
ASQRL0X85B,7/31/2019,2571
ASQRL0X85B,8/31/2019,3769
ASQRL0X85B,9/30/2019,2974
ASQRL0X85B,10/31/2019,2846
ASQRL0X85B,11/30/2019,1603
ASQRL0X85B,12/31/2019,2391
ASQRL0X85B,1/31/2020,3012
ASQRL0X85B,2/29/2020,2981
ASQRL0X85B,3/31/2020,2760
ASQRL0X85B,4/30/2020,3041
ASQRL0X85B,5/31/2020,3003
ASQRL0X85B,6/30/2020,1619
ASQRL0X85B,7/31/2020,2875
ASQRL0X85B,8/31/2020,2388
ASQRL0X85B,9/30/2020,2174
ASQRL0X85B,10/31/2020,1395
ASQRL0X85B,11/30/2020,0
ASQRL0X85B,12/31/2020,1943
ASQRL0X85B,1/31/2021,1707
ASQRL0X85B,2/28/2021,1763
ASQRL0X85B,3/31/2021,2659
ASQRL0X85B,4/30/2021,2254
ASQRL0X85B,5/31/2021,2291
ASQRL0X85B,6/30/2021,2582
ASQRL0X85B,7/31/2021,2842
ASQRL0X85B,8/31/2021,2540
ASQRL0X85B,9/30/2021,2270
ASQRL0X85B,10/31/2021,2137
ASQRL0X85B,11/30/2021,2121
ASQRL0X85B,12/31/2021,2039
ASQRL0X85B,1/31/2022,1840
ASQRL0X85B,2/28/2022,1682
ASQRL0X85B,3/31/2022,1253
ASQRL0X85B,4/30/2022,1937
ASQRL0X85B,5/31/2022,1756
ASQRL0X85B,6/30/2022,1679
ASQRL0X85B,7/31/2022,1718
ASQRL0X85B,8/31/2022,1558
ASQRL0X85B,9/30/2022,1379
ASQRL0X85B,10/31/2022,1158
ASQRL0X85B,11/30/2022,889
ASQRL0X85B,12/31/2022,1101
ASQRL0X85B,1/31/2023,1529
ASQRL0X85B,2/28/2023,1371
ASQRL0X85B,3/31/2023,308
ASQRL0X85B,4/30/2023,666
ASQRL0X85B,5/31/2023,1743
ASQRL0X85B,6/30/2023,2011
ASQRL0X85B,7/31/2023,1856
ASQRL0X85B,8/31/2023,1054
ASQRL0X85B,9/30/2023,1107
ASQRL0X85B,10/31/2023,1039
ASQRL0X85B,11/30/2023,
ASQRL0X85B,12/31/2023,1295
ASQRL0X85B,1/31/2024,1312
ASQRL0X85B,2/29/2024,1099
ASQRL0X85B,3/31/2024,1844
ASQRL0X85B,4/30/2024,1484.876195
BAU3X2172S,7/31/2015,17544
BAU3X2172S,8/31/2015,10901
BAU3X2172S,9/30/2015,15945
BAU3X2172S,10/31/2015,13955
BAU3X2172S,11/30/2015,5821
BAU3X2172S,12/31/2015,4822
BAU3X2172S,1/31/2016,6491
BAU3X2172S,2/29/2016,6710
BAU3X2172S,3/31/2016,7098
BAU3X2172S,4/30/2016,6597
BAU3X2172S,5/31/2016,4727
BAU3X2172S,6/30/2016,5089
BAU3X2172S,7/31/2016,2962
BAU3X2172S,8/31/2016,2897
BAU3X2172S,9/30/2016,3230
BAU3X2172S,10/31/2016,4678
BAU3X2172S,11/30/2016,3855
BAU3X2172S,12/31/2016,378
BAU3X2172S,1/31/2017,1016
BAU3X2172S,2/28/2017,1293
BAU3X2172S,3/31/2017,606
BAU3X2172S,4/30/2017,1346
BAU3X2172S,5/31/2017,1539
BAU3X2172S,6/30/2017,1483
BAU3X2172S,7/31/2017,1811
BAU3X2172S,8/31/2017,1785
BAU3X2172S,9/30/2017,1681
BAU3X2172S,10/31/2017,2547
BAU3X2172S,11/30/2017,2272
BAU3X2172S,12/31/2017,2080
BAU3X2172S,1/31/2018,2213
BAU3X2172S,2/28/2018,2025
BAU3X2172S,3/31/2018,3347
BAU3X2172S,4/30/2018,1959
BAU3X2172S,5/31/2018,1527
BAU3X2172S,6/30/2018,1267
BAU3X2172S,7/31/2018,1537
BAU3X2172S,8/31/2018,1185
BAU3X2172S,9/30/2018,1322
BAU3X2172S,10/31/2018,1370
BAU3X2172S,11/30/2018,1300
BAU3X2172S,12/31/2018,654
BAU3X2172S,1/31/2019,1
BAU3X2172S,2/28/2019,0
BAU3X2172S,3/31/2019,489
BAU3X2172S,4/30/2019,1687
BAU3X2172S,5/31/2019,3531
BAU3X2172S,6/30/2019,2486
BAU3X2172S,7/31/2019,1822
BAU3X2172S,8/31/2019,1350
BAU3X2172S,9/30/2019,1469
BAU3X2172S,10/31/2019,2298
BAU3X2172S,11/30/2019,1510
BAU3X2172S,12/31/2019,1514
BAU3X2172S,1/31/2020,1318
BAU3X2172S,2/29/2020,296
BAU3X2172S,3/31/2020,0
BAU3X2172S,4/30/2020,0
BAU3X2172S,5/31/2020,0
BAU3X2172S,6/30/2020,0
BAU3X2172S,7/31/2020,0
BAU3X2172S,8/31/2020,0
BAU3X2172S,9/30/2020,0
BAU3X2172S,10/31/2020,1363
BAU3X2172S,11/30/2020,1663
BAU3X2172S,12/31/2020,1589
BAU3X2172S,1/31/2021,1451
BAU3X2172S,2/28/2021,1585
BAU3X2172S,3/31/2021,1095
BAU3X2172S,4/30/2021,1239
BAU3X2172S,5/31/2021,1022
BAU3X2172S,6/30/2021,607
BAU3X2172S,7/31/2021,0
BAU3X2172S,8/31/2021,352
BAU3X2172S,9/30/2021,994
BAU3X2172S,10/31/2021,1021
