Date,P10_Production_bbl,P10_Revenue_USD,P10_Cumulative_Revenue_USD,P50_Production_bbl,P50_Revenue_USD,P50_Cumulative_Revenue_USD,P90_Production_bbl,P90_Revenue_USD,P90_Cumulative_Revenue_USD
2025-01-01,10018387.396368997,752380893.4673116,752380893.4673116,8692211.926563706,652785115.6849343,652785115.6849343,7557335.75424943,567555915.1441321,567555915.1441321
2025-02-01,5606177.115222394,421023901.35320175,1173404794.8205132,4768861.120883822,358141470.17837507,1010926585.8633094,4057686.4661408067,304732253.6071746,872288168.7513068
2025-03-01,3662076.2016750295,265903353.00362387,1439308147.8241372,3069137.1110580093,222850045.63392204,1233776631.4972315,2567652.587511535,186437254.37921253,1058725423.1305193
2025-04-01,2587533.1654129517,186768143.8795069,1626076291.703644,2148012.7954833065,155043563.57798508,1388820195.0752165,1777850.0999081994,128325220.21137385,1187050643.3418932
2025-05-01,1936851.0470294855,138697903.47778144,1764774195.1814256,1592079.753973168,114008831.18201856,1502829026.257235,1309241.2850143246,93754768.41987579,1280805411.761769
2025-06-01,1519884.918889984,107911829.24118887,1872686024.4226143,1240314.1086752212,88062301.7159407,1590891327.9731758,1007498.4166130046,71532387.57952332,1352337799.3412924
2025-07-01,1242054.853065471,81031658.61399132,1953717683.0366056,1006141.219119198,65640653.13533647,1656531981.1085122,805964.9117485447,52581150.84247505,1404918950.1837673
2025-08-01,1051896.1667605736,68625705.91945982,2022343388.9560654,842969.6471380153,54995339.77928411,1711527320.8877962,666930.4849288624,43510544.83675898,1448429495.0205264
2025-09-01,912751.8346570113,58251822.087810464,2080595211.043876,724443.9409360464,46234012.310538486,1757761333.1983347,566789.5570814841,36172509.53294031,1484602004.5534668
2025-10-01,806728.931504876,50598038.58398582,2131193249.6278617,634163.3932044326,39774728.02178201,1797536061.2201166,491662.33498996776,30837061.650570776,1515439066.2040377
2025-11-01,723184.4205809081,44866361.45283954,2176059611.0807014,563563.0930766162,34963454.29447327,1832499515.5145898,434401.31322630594,26950257.47256002,1542389323.6765976
2025-12-01,655057.6918475402,40384306.702400856,2216443917.783102,507026.02061645,31258154.171004143,1863757669.6855938,388309.6748242234,23939291.45291337,1566328615.1295109
2026-01-01,599163.6350176,36836580.280882046,2253280498.063984,460555.678734084,28314963.128571484,1892072632.8141654,350304.0994751847,21536696.03573435,1587865311.1652453
2026-02-01,551904.6232661963,33897981.96100978,2287178480.024994,421784.32027746434,25905992.95144186,1917978625.765607,318686.08067879424,19573699.075291544,1607439010.240537
2026-03-01,511811.20552117354,31425208.019000053,2318603688.043994,388937.3625245991,23880754.059010386,1941859379.8246174,291963.3326452888,17926548.624420732,1625365558.8649576
2026-04-01,477329.5938088114,29312810.355799105,2347916498.399793,360540.63950599683,22140800.672063265,1964000180.4966807,269216.17585134396,16532565.35903103,1641898124.2239885
2026-05-01,447457.4383248556,27496259.585062377,2375412757.9848557,336007.03449037333,20647632.269433443,1984647812.7661142,249549.1527134111,15334795.434239114,1657232919.6582277
2026-06-01,420886.2536761519,25880295.738546584,2401293053.723402,314386.9607878987,19331654.21884789,2003979466.9849622,232326.76558041398,14285772.815539656,1671518692.4737673
2026-07-01,397414.4538759941,24440988.913373634,2425734042.6367755,295396.53743433673,18166887.05221171,2022146354.037174,217189.89914774988,13357178.797586618,1684875871.271354
2026-08-01,376498.6648317322,23158432.87379985,2448892475.5105753,278554.53884431126,17133889.684313584,2039280243.7214875,203835.4904629899,12537921.018378507,1697413792.2897325
2026-09-01,357834.6020561013,22017563.064511914,2470910038.575087,263503.46170836315,16213367.998915585,2055493611.7204032,191999.9697753504,11813758.14027731,1709227550.4300098
2026-10-01,340878.8828609116,20987912.817746326,2491897951.392833,250042.46935956986,15395114.838468717,2070888726.558872,181290.83549323812,11162076.741318671,1720389627.1713285
2026-11-01,325498.16114443395,20063706.652942907,2511961658.0457764,237892.6079640314,14663700.354902895,2085552426.913775,171668.5224966393,10581647.726692848,1730971274.8980215
2026-12-01,311646.8972983777,19228613.563309904,2531190271.609086,226810.4701654276,13994206.009206884,2099546632.9229817,162963.19394862532,10054829.066630183,1741026103.9646516
2027-01-01,298948.2683248737,18448097.638327956,2549638369.247414,216695.08241968165,13372253.536118556,2112918886.4591002,155114.2623785573,9572101.13138077,1750598205.0960324
2027-02-01,287182.4460553059,17727772.39499403,2567366141.6424084,207386.8999567494,12801993.33433014,2125720879.7934303,148070.25861282903,9140377.064169936,1759738582.1602023
