Date,P10_Production_bbl,P10_Revenue_USD,P10_Cumulative_Revenue_USD,P50_Production_bbl,P50_Revenue_USD,P50_Cumulative_Revenue_USD,P90_Production_bbl,P90_Revenue_USD,P90_Cumulative_Revenue_USD
2025-01-01,11317470.84533284,849942060.4844962,849942060.4844962,9020558.515718611,677443944.5304676,677443944.5304676,7133353.777030722,535714868.6550072,535714868.6550072
2025-02-01,6637297.375851218,498461032.9264264,1348403093.4109225,5011181.044758438,376339696.46135867,1053783640.9918263,3773223.488837281,283369084.01167977,819083952.666687
2025-03-01,4502298.6653771885,326911906.09303766,1675314999.5039601,3259849.794250479,236697693.56052727,1290481334.5523536,2353417.2574872933,170881627.06615236,989965579.7328393
2025-04-01,3243345.528961433,234104680.28043628,1909419679.7843964,2295056.802231363,165657199.9850598,1456138534.5374134,1608162.9405262917,116077201.04718775,1106042780.7800272
2025-05-01,2448950.2035256852,175369324.0744743,2084789003.8588707,1704718.3464910425,122074880.79222356,1578213415.3296368,1176094.1017477158,84220098.62615393,1190262879.406181
2025-06-01,1931861.7178289988,137162181.9658589,2221951185.8247294,1329401.2019303488,94387485.33705476,1672600900.6666915,913898.9895459036,64886828.25775916,1255149707.6639402
2025-07-01,1588026.398126954,103602842.21380247,2325554028.038532,1081066.6807263524,70528790.25058722,1743129690.9172788,740029.5950270324,48279530.77956359,1303429238.4435039
2025-08-01,1347508.2738070483,87911439.78317183,2413465467.8217034,908872.1604239267,59294819.746056974,1802424510.6633358,617328.4674855878,40274509.218759745,1343703747.6622636
2025-09-01,1171236.2917123695,74748300.13708343,2488213767.958787,784703.0834519169,50079750.78590134,1852504261.449237,528150.5972445916,33706571.116149835,1377410318.7784135
2025-10-01,1037696.302156331,65084312.07124508,2553298080.030032,690717.1700551542,43321780.90585928,1895826042.3550963,459898.1980853284,28844814.983911797,1406255133.7623253
2025-11-01,934241.5880702074,57960348.12387566,2611258428.153908,616598.9410447832,38253798.30241835,1934079840.6575146,406382.58968966256,25211975.864346664,1431467109.626672
2025-12-01,849980.5891410719,52401303.32054708,2663659731.474455,557013.3433219733,34339872.61579966,1968419713.2733142,363106.68434522726,22385527.08988326,1453852636.7165554
2026-01-01,781140.1596089654,48024497.01275919,2711684228.487214,507633.94241447956,31209334.779642202,1999629048.0529563,327807.416505975,20153599.966787342,1474006236.6833427
2026-02-01,723157.7888627109,44416351.39194771,2756100579.879162,466462.09693785943,28650101.99392333,2028279150.0468798,298671.61069558345,18344410.328922737,1492350647.0122654
2026-03-01,673556.788233507,41356386.79753733,2797456966.676699,431082.2771095181,26468451.814524412,2054747601.8614042,273836.0729395506,16813534.878488407,1509164181.8907537
2026-04-01,630063.0527917321,38692172.071940266,2836149138.7486396,400845.53913011606,24615924.557980426,2079363526.4193847,252438.70429391085,15502260.830689065,1524666442.7214427
2026-05-01,592286.5116852002,36396006.14305555,2872545144.891695,374407.99873167975,23007371.52206172,2102370897.9414465,234196.34981259258,14391365.695983814,1539057808.4174266
2026-06-01,559448.7450334134,34400503.33210459,2906945648.2237997,351512.4907470884,21614503.056038465,2123985400.997485,217956.63245924053,13402153.329918701,1552459961.7473452
2026-07-01,529775.4410564613,32581189.62497237,2939526837.848772,330965.138982664,20354356.047433835,2144339757.0449188,203902.9844712666,12540033.544982895,1564999995.2923281
2026-08-01,503655.5835026505,30979854.94124803,2970506692.79002,312741.5724670008,19236734.12244522,2163576491.167364,191444.3258217754,11775740.481297404,1576775735.7736256
2026-09-01,480454.4696275843,29562363.51618526,3000069056.3062053,296528.4275110008,18245394.144751877,2181821885.312116,180355.1003456435,11097249.324267445,1587872985.097893
2026-10-01,459054.8460272263,28264006.869896322,3028333063.1761017,282021.90888082207,17364088.929792214,2199185974.2419086,170336.312342517,10487606.75092877,1598360591.8488219
2026-11-01,440127.9732263249,27129488.269670665,3055462551.445772,268827.4402190447,16570523.415101914,2215756497.6570106,161230.72029933508,9938261.599251015,1608298853.448073
2026-12-01,422680.03938054136,26079358.429779403,3081541909.8755517,256697.40096743274,15838229.6396906,2231594727.296701,153150.74349233683,9449400.873477183,1617748254.3215501
