Date,P10_Production_bbl,P10_Revenue_USD,P10_Cumulative_Revenue_USD,P50_Production_bbl,P50_Revenue_USD,P50_Cumulative_Revenue_USD,P90_Production_bbl,P90_Revenue_USD,P90_Cumulative_Revenue_USD
2025-01-01,10148183.977694726,762128616.7248738,762128616.7248738,8773941.812311802,658923030.1046163,658923030.1046163,7607897.979234435,571353138.240506,571353138.240506
2025-02-01,5696596.872469774,427814425.12248003,1189943041.847354,4825240.585636336,362375567.98128885,1021298598.0859051,4088968.0119869877,307081497.70022273,878434635.9407288
2025-03-01,3734961.722454952,271195570.66745406,1461138612.514808,3113055.5715134707,226038965.04759312,1247337563.1334982,2593418.60835345,188308125.152544,1066742761.0932728
2025-04-01,2645977.1382708075,190986629.8403869,1652125242.3551948,2182599.6468784213,157540042.51168448,1404877605.6451826,1798725.7600935816,129832025.36355473,1196574786.4568276
2025-05-01,1986697.550804497,142267411.61311004,1794392653.9683049,1619333.9923823732,115960507.19450174,1520838112.8396842,1326078.1013269764,94960452.83602478,1291535239.2928524
2025-06-01,1564427.3674160843,111074343.08654198,1905466997.0548468,1263399.735219772,89701381.20060381,1610539494.040288,1023918.4479697011,72698209.80584878,1364233449.0987012
2025-07-01,1285802.033589764,83885724.6713962,1989352721.726243,1025656.3047557218,66913817.322263286,1677453311.3625512,821473.4125177924,53592925.43266077,1417826374.531362
2025-08-01,1092257.381325639,71258871.55768469,2060611593.2839277,860791.7438872943,56158053.37120707,1733611364.7337582,681821.7733686366,44482052.494569845,1462308427.0259318
2025-09-01,949705.6434379877,60610214.164212376,2121221807.4481401,740181.5465697934,47238386.302084215,1780849751.0358424,579433.9327881645,36979473.590540655,1499287900.6164725
2025-10-01,840910.3219152128,52741895.390522145,2173963702.838662,648524.9626484681,40675485.65731192,1821525236.6931543,503223.8315603374,31562198.71546436,1530850099.3319368
2025-11-01,754752.932619743,46824871.939728856,2220788574.778391,576766.7029428185,35782606.25057246,1857307842.9437268,444328.01458393066,27566110.024787057,1558416209.3567238
2025-12-01,684613.3307251192,42206411.839203596,2262994986.6175947,518616.03265565104,31972678.413220886,1889280521.3569477,396740.0262199325,24459022.616458837,1582875231.9731827
2026-01-01,626416.5428322767,38512089.053328365,2301507075.670923,471013.30562066083,28957898.029558226,1918238419.3865058,358025.8482032515,22011429.1475359,1604886661.1207185
2026-02-01,577182.2662332887,35450534.79204859,2336957610.4629717,430917.819738662,26466972.48834862,1944705391.8748546,325798.04789845546,20010516.101923134,1624897177.2226417
2026-03-01,535181.2564882926,32860129.148381166,2369817739.611353,396998.9961054763,24375738.360876244,1969081130.235731,298513.31989377295,18328717.84147766,1643225895.0641193
2026-04-01,499232.2408019292,30657851.90764647,2400475591.5189996,367701.6440368918,22580557.960305523,1991661688.1960363,275140.0276626112,16896349.098760955,1660122244.1628802
2026-05-01,467751.86239860585,28743351.94439433,2429218943.4633937,342396.9777166315,21040294.280687004,2012701982.4767234,254873.34241087578,15661966.891148318,1675784211.0540285
2026-06-01,439912.62638585037,27050227.39646594,2456269170.8598595,320440.338328633,19703876.403827645,2032405858.880551,237148.99011116414,14582291.401935482,1690366502.455964
2026-07-01,415713.5854230813,25566385.5035195,2481835556.363379,300941.29961698485,18507889.926444568,2050913748.8069956,221580.72742408997,13627214.736581534,1703993717.1925457
2026-08-01,393662.34500633355,24214170.841339577,2506049727.2047186,283690.2505650433,17449787.312255815,2068363536.1192515,207667.47452339472,12773626.35793401,1716767343.5504797
2026-09-01,373949.8817141902,23009136.22187412,2529058863.426593,268187.55134832807,16501580.034462627,2084865116.1537142,195347.0689463241,12019705.152267324,1728787048.7027469
2026-10-01,356358.78251270857,21941010.239307467,2550999873.6659,254284.80325993337,15656315.336714098,2100521431.4904282,184337.38166700047,11349652.589237219,1740136701.291984
2026-11-01,340292.16645203973,20975609.140103728,2571975482.806004,241746.48876325862,14901253.567367261,2115422685.0577955,174516.91355460402,10757222.551505791,1750893923.84349
2026-12-01,325674.4189081334,20094111.646631833,2592069594.452636,230395.85888165253,14215424.492997961,2129638109.5507934,165559.73434005072,10215035.608781131,1761108959.452271
2027-01-01,312370.1926713265,19276364.58974756,2611345959.042383,219979.02345798607,13574905.53759232,2143213015.0883858,157520.90359813967,9720614.961041199,1770829574.4133122
2027-02-01,299901.4629526468,18512917.308066886,2629858876.35045,210581.87812418176,12999219.336605739,2156212234.4249916,150094.25105728392,9265318.117766136,1780094892.5310783
2027-03-01,288591.62648891227,17823418.85195522,2647682295.2024055,201880.96885409002,12468168.6364286,2168680403.0614204,143348.82138105005,8853223.20849365,1788948115.739572
2027-04-01,278051.2853942716,17189130.463073872,2664871425.665479,193876.12047592574,11985421.76782173,2180665824.829242,137094.73502746996,8475196.519398192,1797423312.2589703
2027-05-01,268349.3011793211,16613505.236011768,2681484930.901491,186480.93555734566,11545034.720355269,2192210859.5495973,131435.6432073668,8137180.670968079,1805560492.9299383
2027-06-01,259298.522312725,16073915.398165822,2697558846.299657,179619.7418504068,11134627.797306718,2203345487.346904,126020.24910899957,7811995.242266884,1813372488.1722052
2027-07-01,250759.12374108282,15549573.263184546,2713108419.5628414,173307.08625820334,10746772.418871189,2214092259.765775,121138.57981321566,7511803.334217503,1820884291.5064228
2027-08-01,242973.61493034766,15071653.334129466,2728180072.8969707,167426.52213709042,10385467.168163719,2224477726.933939,116484.63774335368,7225542.079220229,1828109833.585643
2027-09-01,235615.7184267702,14627023.799933894,2742807096.6969047,161855.76615063127,10048005.962631188,2234525732.89657,112275.88785703036,6970087.118164445,1835079920.7038076
2027-10-01,228581.4404819849,14204050.711550541,2757011147.4084554,156691.52981896253,9736811.662950331,2244262544.5595207,108259.51973412135,6727246.5562783005,1841807167.2600858
2027-11-01,222077.90108159988,13817687.005297145,2770828834.4137526,151873.6325750672,9449577.418820681,2253712121.9783416,104494.99617759102,6501678.6621697135,1848308845.9222555
2027-12-01,215942.91082834205,13446765.05728086,2784275599.4710336,147293.38292898308,9171958.954987777,2262884080.9333296,101068.86229675639,6293558.055219021,1854602403.9774745
2028-01-01,210088.39812173662,13082204.55104054,2797357804.022074,142989.7699184066,8903972.97281918,2271788053.906149,97825.24334371995,6091577.903013442,1860693981.880488
2028-02-01,204605.80960813875,12746941.938587043,2810104745.9606614,138957.59522117066,8657058.182278931,2280445112.088428,94758.7411061204,5903469.570911301,1866597451.4513993
2028-03-01,199467.45329057728,12434801.038134588,2822539546.998796,135138.5647484579,8424538.126418866,2288869650.214847,91876.49508842864,5727580.703812642,1872325032.155212
2028-04-01,194412.6196466174,12127459.213555994,2834667006.212352,131532.6315187324,8205005.554138528,2297074655.7689857,89113.88873464587,5558924.379267209,1877883956.5344791
2028-05-01,189876.29887613072,11855876.101825602,2846522882.3141775,128092.64087754143,7998104.496393687,2305072760.2653794,86542.50775648467,5403714.184314903,1883287670.718794
2028-06-01,185308.49169046083,11578074.560819991,2858100956.8749976,124821.91644148676,7798873.339264092,2312871633.6046433,84120.19639166421,5255829.87055118,1888543500.5893452
2028-07-01,181067.61824250408,11311294.11160923,2869412250.986607,121781.79960729099,7607709.021467468,2320479342.626111,81791.93122926119,5109541.943891946,1893653042.5332372
2028-08-01,176995.3667264224,10945393.47836196,2880357644.464969,118835.08911853097,7348761.911089956,2327828104.537201,79582.68118402504,4921393.004420109,1898574435.5376573
2028-09-01,173182.05241987616,10719969.044790333,2891077613.5097594,115995.2337676597,7180104.970218135,2335008209.507419,77492.2665616477,4796771.300165992,1903371206.8378232
2028-10-01,169536.40829068742,10509561.949939713,2901587175.459699,113331.43414455911,7025415.60262122,2342033625.11004,75499.21233766979,4680196.17281215,1908051403.0106354
2028-11-01,165975.7235865933,10303772.920255711,2911890948.379955,110800.49405412107,6878494.670879835,2348912119.78092,73605.98515815209,4569459.558618082,1912620862.5692534
2028-12-01,162522.20917817278,10081252.635322059,2921972201.015277,108359.91398288666,6721565.46435846,2355633685.2452784,71845.32940163695,4456565.78278354,1917077428.352037
2029-01-01,159366.3405503008,9914180.045634214,2931886381.060911,106035.87010421327,6596491.479183108,2362230176.7244616,70112.50061878913,4361698.663494872,1921439127.0155318
2029-02-01,156261.95687716152,9721056.337328218,2941607437.3982396,103789.41030444032,6456739.215039232,2368686915.939501,68480.7865713706,4260189.732604965,1925699316.7481368
2029-03-01,153247.23437913792,9539640.340101335,2951147077.738341,101666.24867561471,6328723.980057016,2375015639.919558,66868.66499979436,4162574.3962371987,1929861891.144374
2029-04-01,150431.78133556872,9373404.295019288,2960520482.03336,99622.34624851988,6207468.394745274,2381223108.3143034,65371.14372981544,4073275.9658048004,1933935167.1101787
2029-05-01,147752.76128512624,9218294.776579026,2969738776.809939,97640.25009180825,6091775.203227917,2387314883.5175314,63957.47811903838,3990307.0598468045,1937925474.1700256
2029-06-01,145075.90822942028,9057088.950762708,2978795865.7607017,95720.62161763494,5975838.407588949,2393290721.9251204,62585.026585511354,3907183.2097334736,1941832657.379759
2029-07-01,142493.13261475237,8892996.406486694,2987688862.167188,93897.81266958706,5860162.488708928,2399150884.4138293,61255.526592424205,3822957.4146331945,1945655614.7943923
2029-08-01,139964.34435712922,8737974.018215576,2996426836.185404,92153.13374579954,5753120.1397502655,2404904004.55358,59972.87703071831,3744106.713027744,1949399721.50742
2029-09-01,137701.95285517647,8598109.936277218,3005024946.121681,90473.65960508796,5649175.305741692,2410553179.8593216,58716.137298764974,3666235.6129348846,1953065957.120355
2029-10-01,135446.83404839897,8465427.128024936,3013490373.2497063,88837.7265185285,5552357.907408032,2416105537.76673,57542.67808469055,3596417.3802931597,1956662374.500648
2029-11-01,133269.82714526562,8337360.386207817,3021827733.635914,87302.92250818666,5461670.832112158,2421567208.598842,56420.91042896617,3529692.156436124,1960192066.6570842
2029-12-01,131135.65923386186,8210403.624632091,3030038137.2605457,85782.39611417973,5370835.820708793,2426938044.419551,55340.477301376144,3464867.2838391606,1963656933.9409235
2030-01-01,129077.61935707538,8078968.195559349,3038117105.456105,84319.99532905099,5277588.5076453015,2432215632.927196,54259.55230602756,3396105.3788342653,1967053039.3197577
2030-02-01,127163.33184420882,7959152.9401290305,3046076258.396234,82934.08087946985,5190844.122246019,2437406477.049442,53258.21307137929,3333431.55613763,1970386470.8758953
